customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No internet service,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
8191-XWSZG,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,False,1,0,0,0,1,0,1,0,0,0,0,1
9959-WOFKT,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,False,0,1,0,1,0,0,0,1,1,0,0,0
4190-MFLUW,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,True,1,0,1,0,0,1,0,0,0,1,0,0
4183-MYFRB,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,False,1,0,0,1,0,1,0,0,0,0,1,0
8779-QRDMV,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,True,0,1,1,0,0,1,0,0,0,0,1,0
1680-VDCWW,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,False,0,1,0,0,1,0,1,0,1,0,0,0
1066-JKSGK,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,True,0,1,0,0,1,1,0,0,0,0,0,1
3638-WEABW,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,False,1,0,1,0,0,0,0,1,0,1,0,0
6322-HRPFA,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,False,0,1,1,0,0,1,0,0,0,1,0,0
6865-JZNKO,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,False,1,0,1,0,0,1,0,0,1,0,0,0
6467-CHFZW,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,True,0,1,0,1,0,1,0,0,0,0,1,0
8665-UTDHZ,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,True,0,1,1,0,0,1,0,0,0,0,1,0
5248-YGIJN,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,False,0,1,1,0,0,0,0,1,0,1,0,0
8773-HHUOZ,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,True,1,0,1,0,0,1,0,0,0,0,0,1
3841-NFECX,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,False,1,0,0,1,0,0,0,1,0,1,0,0
4929-XIHVW,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,False,0,1,0,1,0,1,0,0,0,1,0,0
6827-IEAUQ,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,False,1,0,1,0,0,0,1,0,0,0,0,1
7310-EGVHZ,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,False,0,1,0,0,1,1,0,0,1,0,0,0
3413-BMNZE,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,False,0,1,1,0,0,1,0,0,1,0,0,0
6234-RAAPL,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,False,1,0,0,1,0,0,0,1,1,0,0,0
6047-YHPVI,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,True,0,1,0,1,0,1,0,0,0,0,1,0
6572-ADKRS,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,False,1,0,0,1,0,1,0,0,0,1,0,0
5380-WJKOV,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,True,0,1,0,1,0,1,0,0,0,0,1,0
8168-UQWWF,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,True,1,0,0,1,0,1,0,0,1,0,0,0
8865-TNMNX,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,False,0,1,1,0,0,0,1,0,0,0,0,1
9489-DEDVP,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,False,1,0,1,0,0,0,0,1,0,1,0,0
9867-JCZSP,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,False,1,0,0,0,1,0,1,0,0,0,0,1
4671-VJLCL,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,False,1,0,1,0,0,0,0,1,0,1,0,0
4080-IIARD,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,False,1,0,1,0,0,1,0,0,0,0,1,0
3714-NTNFO,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,False,1,0,0,1,0,1,0,0,0,0,1,0
5948-UJZLF,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,False,0,1,1,0,0,1,0,0,0,0,0,1
7760-OYPDY,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,True,1,0,0,1,0,1,0,0,0,0,1,0
7639-LIAYI,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,False,0,1,1,0,0,0,0,1,0,1,0,0
2954-PIBKO,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,False,1,0,1,0,0,0,0,1,0,1,0,0
8012-SOUDQ,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,False,1,0,0,1,0,1,0,0,0,0,1,0
9420-LOJKX,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,True,1,0,0,1,0,1,0,0,0,1,0,0
6575-SUVOI,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,False,1,0,1,0,0,1,0,0,0,1,0,0
7495-OOKFY,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,True,1,0,0,1,0,1,0,0,0,1,0,0
4667-QONEA,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,False,1,0,1,0,0,0,1,0,0,1,0,0
1658-BYGOY,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,True,0,1,0,1,0,1,0,0,0,0,1,0
8769-KKTPH,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,False,1,0,0,1,0,0,1,0,0,1,0,0
5067-XJQFU,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,False,0,1,0,1,0,0,1,0,0,0,1,0
3957-SQXML,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,False,1,0,0,0,1,0,0,1,0,1,0,0
5954-BDFSG,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,False,1,0,0,1,0,0,0,1,0,1,0,0
0434-CSFON,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,False,1,0,0,1,0,1,0,0,0,0,1,0
1215-FIGMP,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,False,0,1,0,1,0,1,0,0,1,0,0,0
0526-SXDJP,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,False,0,1,1,0,0,0,0,1,1,0,0,0
0557-ASKVU,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,False,1,0,1,0,0,0,1,0,0,1,0,0
5698-BQJOH,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,True,1,0,0,1,0,1,0,0,0,0,1,0
5122-CYFXA,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,False,1,0,1,0,0,1,0,0,0,0,1,0
8627-ZYGSZ,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,False,0,1,0,1,0,0,1,0,0,0,1,0
3410-YOQBQ,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,False,1,0,1,0,0,0,0,1,0,0,0,1
3170-NMYVV,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,False,1,0,0,0,1,0,0,1,1,0,0,0
7410-OIEDU,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,False,0,1,0,1,0,1,0,0,0,0,0,1
2273-QCKXA,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,False,0,1,1,0,0,1,0,0,0,0,0,1
0731-EBJQB,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,False,1,0,0,0,1,0,1,0,0,0,1,0
1891-QRQSA,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,False,0,1,0,1,0,0,0,1,1,0,0,0
8028-PNXHQ,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,False,0,1,0,0,1,0,0,1,1,0,0,0
5630-AHZIL,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,False,1,0,1,0,0,1,0,0,1,0,0,0
2673-CXQEU,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,False,1,0,0,1,0,0,1,0,0,0,1,0
6416-JNVRK,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,False,1,0,1,0,0,0,1,0,0,1,0,0
5590-ZSKRV,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,False,1,0,1,0,0,1,0,0,0,0,0,1
0191-ZHSKZ,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,False,0,1,1,0,0,1,0,0,0,0,1,0
3887-PBQAO,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,False,1,0,0,0,1,0,1,0,0,1,0,0
5919-TMRGD,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,True,1,0,0,1,0,1,0,0,0,0,1,0
8108-UXRQN,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,False,1,0,1,0,0,1,0,0,0,0,1,0
9191-MYQKX,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,True,1,0,0,1,0,1,0,0,1,0,0,0
9919-YLNNG,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,False,1,0,0,1,0,1,0,0,1,0,0,0
0318-ZOPWS,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,False,1,0,0,0,1,0,0,1,1,0,0,0
4445-ZJNMU,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,False,0,1,0,1,0,1,0,0,0,1,0,0
4808-YNLEU,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,False,1,0,1,0,0,0,1,0,1,0,0,0
1862-QRWPE,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,False,1,0,0,0,1,0,0,1,1,0,0,0
2796-NNUFI,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,False,1,0,0,0,1,0,0,1,0,0,0,1
3016-KSVCP,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,False,0,1,1,0,0,1,0,0,0,0,0,1
4767-HZZHQ,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,False,0,1,0,1,0,1,0,0,1,0,0,0
2424-WVHPL,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,False,0,1,0,1,0,1,0,0,0,0,1,0
7233-PAHHL,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,False,0,1,1,0,0,0,0,1,0,0,0,1
6067-NGCEU,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,False,1,0,0,1,0,1,0,0,0,1,0,0
9848-JQJTX,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,False,0,1,0,1,0,0,0,1,1,0,0,0
8637-XJIVR,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,True,1,0,0,1,0,1,0,0,0,0,1,0
9803-FTJCG,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,False,0,1,1,0,0,0,1,0,0,1,0,0
0278-YXOOG,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,True,0,1,0,0,1,1,0,0,0,0,0,1
3212-KXOCR,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,False,0,1,0,0,1,0,0,1,1,0,0,0
4598-XLKNJ,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,True,1,0,0,1,0,1,0,0,0,0,1,0
6380-ARCEH,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,False,0,1,0,0,1,1,0,0,0,0,0,1
3679-XASPY,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,False,1,0,0,0,1,1,0,0,0,0,1,0
7123-WQUHX,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,False,0,1,0,1,0,0,1,0,1,0,0,0
5386-THSLQ,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,False,1,0,1,0,0,0,1,0,1,0,0,0
3192-NQECA,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,True,0,1,0,1,0,0,0,1,1,0,0,0
6180-YBIQI,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,False,0,1,1,0,0,1,0,0,0,0,0,1
6728-DKUCO,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,False,1,0,0,1,0,0,1,0,0,0,1,0
9750-BOOHV,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,False,1,0,1,0,0,0,1,0,0,0,0,1
8597-CWYHH,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,False,0,1,0,1,0,0,1,0,0,0,0,1
2848-YXSMW,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,False,0,1,0,0,1,0,0,1,0,1,0,0
0486-HECZI,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,True,0,1,0,1,0,1,0,0,0,0,1,0
4549-ZDQYY,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,False,1,0,1,0,0,0,1,0,0,1,0,0
5712-AHQNN,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,False,1,0,0,1,0,1,0,0,0,0,1,0
4846-WHAFZ,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,True,1,0,0,1,0,1,0,0,0,0,1,0
5256-SKJGO,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,False,1,0,1,0,0,0,0,1,0,0,1,0
3071-VBYPO,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,False,0,1,0,1,0,1,0,0,0,0,1,0
9560-BBZXK,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,False,1,0,1,0,0,0,0,1,1,0,0,0
5299-RULOA,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,True,1,0,0,1,0,1,0,0,0,0,1,0
8402-OOOHJ,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,False,1,0,0,0,1,0,0,1,0,0,0,1
9445-ZUEQE,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,False,0,1,0,1,0,1,0,0,0,1,0,0
1091-SOZGA,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,False,1,0,0,1,0,0,1,0,0,1,0,0
2928-HLDBA,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,False,1,0,0,0,1,1,0,0,0,0,0,1
0404-SWRVG,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,True,0,1,0,1,0,1,0,0,0,0,1,0
6497-TILVL,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,False,1,0,1,0,0,1,0,0,0,0,0,1
7219-TLZHO,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,False,1,0,0,0,1,1,0,0,0,0,0,1
4622-YNKIJ,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,False,0,1,0,1,0,0,0,1,0,0,1,0
4412-YLTKF,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,True,1,0,0,1,0,1,0,0,0,0,1,0
6734-PSBAW,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,False,0,1,0,0,1,0,0,1,1,0,0,0
3930-ZGWVE,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,False,0,1,0,0,1,1,0,0,0,0,0,1
2639-UGMAZ,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,False,0,1,1,0,0,0,1,0,0,0,1,0
2876-GZYZC,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,False,1,0,0,1,0,1,0,0,0,0,1,0
6207-WIOLX,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,True,1,0,1,0,0,1,0,0,0,1,0,0
8587-XYZSF,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,False,0,1,1,0,0,0,0,1,1,0,0,0
3091-FYHKI,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,True,0,1,1,0,0,1,0,0,0,0,1,0
2372-HWUHI,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,True,0,1,1,0,0,1,0,0,0,0,1,0
7799-LGRDP,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,False,1,0,0,0,1,0,0,1,0,1,0,0
7850-VWJUU,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,False,1,0,0,1,0,1,0,0,1,0,0,0
3774-VBNXY,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,False,1,0,0,0,1,0,0,1,0,0,0,1
6217-KDYWC,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,False,0,1,0,0,1,0,0,1,0,0,0,1
0390-DCFDQ,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,True,1,0,0,1,0,1,0,0,0,0,0,1
3146-MSEGF,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,False,1,0,1,0,0,0,0,1,0,1,0,0
4080-OGPJL,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,True,1,0,1,0,0,1,0,0,0,0,1,0
1095-WGNGG,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,False,1,0,0,1,0,0,0,1,1,0,0,0
2636-SJDOU,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,False,0,1,0,1,0,0,1,0,0,1,0,0
1131-QQZEB,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,False,0,1,0,0,1,0,0,1,1,0,0,0
5716-EZXZN,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,False,1,0,0,1,0,0,0,1,0,1,0,0
6837-BJYDQ,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,False,0,1,0,0,1,0,1,0,0,0,0,1
2135-RXIHG,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,True,0,1,1,0,0,1,0,0,0,0,1,0
6440-DKQGE,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,False,0,1,1,0,0,0,1,0,0,1,0,0
3466-BYAVD,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,False,0,1,1,0,0,1,0,0,0,0,0,1
3780-YVMFA,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,False,1,0,1,0,0,1,0,0,0,0,1,0
3874-EQOEP,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,True,0,1,0,1,0,1,0,0,0,0,0,1
1679-JRFBR,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,False,1,0,0,1,0,0,1,0,0,1,0,0
9073-ZZIAY,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,False,0,1,1,0,0,0,0,1,0,0,1,0
3077-RSNTJ,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,False,1,0,0,0,1,1,0,0,0,0,0,1
6551-GNYDG,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,False,1,0,0,1,0,1,0,0,1,0,0,0
9167-APMXZ,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,False,1,0,0,1,0,1,0,0,1,0,0,0
2749-CTKAJ,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,False,0,1,0,0,1,0,1,0,0,0,0,1
6371-NZYEG,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,False,0,1,1,0,0,0,0,1,0,0,0,1
7554-NEWDD,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,False,0,1,0,0,1,0,0,1,1,0,0,0
8992-VONJD,0,0,1,13,1,0,1,1,0,0,0,0,1,56.0,False,1,0,1,0,0,1,0,0,0,0,1,0
0867-MKZVY,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,True,1,0,0,1,0,1,0,0,0,0,1,0
4482-EWFMI,0,0,0,2,1,0,0,0,0,0,0,0,1,69.7,False,1,0,0,1,0,1,0,0,0,0,1,0
4648-YPBTM,0,0,0,53,1,1,0,1,1,1,0,1,1,73.9,False,0,1,1,0,0,0,0,1,1,0,0,0
2907-ILJBN,0,1,1,11,1,0,0,0,0,0,0,0,0,20.6,False,1,0,0,0,1,0,1,0,0,0,0,1
6345-FZOQH,0,1,0,69,1,0,0,0,0,0,0,0,0,19.9,False,0,1,0,0,1,0,0,1,0,0,0,1
3376-BMGFE,0,0,0,4,1,0,0,0,0,0,0,0,1,70.9,True,1,0,0,1,0,1,0,0,1,0,0,0
5997-OPVFA,0,1,0,72,1,1,1,1,1,1,1,1,1,89.05,False,0,1,1,0,0,0,0,1,1,0,0,0
3445-HXXGF,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,True,0,1,1,0,0,1,0,0,0,0,1,0
1159-WFSGR,0,1,1,16,1,0,0,0,0,0,0,0,0,20.4,False,1,0,0,0,1,1,0,0,0,0,1,0
7654-YWJUF,0,1,0,43,1,0,1,0,1,1,0,0,1,84.25,False,0,1,0,1,0,0,1,0,1,0,0,0
1875-QIVME,0,1,0,2,1,1,0,0,1,1,1,1,1,104.4,True,1,0,0,1,0,1,0,0,0,0,1,0
6727-IOTLZ,0,1,0,14,1,0,0,1,1,1,1,1,0,81.95,False,0,1,1,0,0,0,0,1,0,0,0,1
0691-JVSYA,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,True,1,0,0,1,0,0,1,0,1,0,0,0
5918-VUKWP,0,0,0,32,1,0,0,0,0,0,0,0,0,20.55,False,1,0,0,0,1,0,1,0,1,0,0,0
1744-JHKYS,0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,False,1,0,0,0,1,1,0,0,0,0,1,0
2656-FMOKZ,1,0,0,15,1,1,0,0,0,0,0,0,1,74.45,True,1,0,0,1,0,1,0,0,0,0,0,1
2070-FNEXE,1,0,0,7,1,0,1,0,0,0,0,0,0,76.45,True,1,0,0,1,0,1,0,0,1,0,0,0
5947-SGKCL,0,1,1,15,1,1,0,1,1,0,1,1,1,105.35,False,1,0,0,1,0,1,0,0,1,0,0,0
3712-PKXZA,0,1,0,61,1,0,0,0,0,0,0,0,1,20.55,False,0,1,0,0,1,0,1,0,0,1,0,0
6317-YPKDH,0,0,0,1,0,0,0,1,0,0,0,0,0,29.95,True,1,0,1,0,0,1,0,0,1,0,0,0
6582-OIVSP,0,0,0,1,1,0,0,0,0,0,0,0,0,45.3,False,1,0,1,0,0,1,0,0,0,0,0,1
9367-WXLCH,0,0,0,8,1,1,0,0,0,0,0,1,0,84.5,True,0,1,0,1,0,1,0,0,1,0,0,0
5524-KHNJP,0,1,1,33,1,0,1,0,1,0,1,1,0,74.75,False,0,1,1,0,0,0,1,0,0,1,0,0
1918-ZBFQJ,0,0,0,13,1,0,0,1,1,0,0,0,1,79.25,True,1,0,0,1,0,1,0,0,0,0,1,0
1024-GUALD,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,True,1,0,1,0,0,1,0,0,0,0,1,0
4827-USJHP,0,0,0,20,1,0,0,1,0,0,0,0,1,51.8,False,0,1,1,0,0,1,0,0,0,0,0,1
8167-GJLRN,0,0,0,3,0,0,0,0,0,1,0,0,0,30.4,False,0,1,1,0,0,1,0,0,0,0,1,0
0956-SYCWG,0,0,0,13,1,0,0,0,0,0,0,0,0,19.65,False,1,0,0,0,1,0,1,0,0,0,1,0
8017-UVSZU,0,1,0,40,1,1,0,1,0,0,0,0,0,56.6,False,1,0,1,0,0,1,0,0,0,1,0,0
7100-FQPRV,0,1,1,43,1,1,1,0,0,1,0,1,1,71.9,False,0,1,1,0,0,0,1,0,0,1,0,0
2472-OVKUP,0,1,0,6,1,0,0,1,1,0,0,1,1,91.0,True,0,1,0,1,0,1,0,0,0,0,1,0
2984-RGEYA,0,1,1,69,1,0,0,0,0,0,0,0,0,19.75,False,1,0,0,0,1,0,0,1,1,0,0,0
9680-NIAUV,0,1,1,72,1,1,1,1,1,0,1,1,0,109.7,False,1,0,0,1,0,0,0,1,0,1,0,0
2146-EGVDT,0,1,1,59,1,0,0,0,0,0,0,0,0,19.3,False,0,1,0,0,1,0,0,1,0,1,0,0
2604-IJPDU,0,1,0,20,1,0,1,1,0,1,1,0,1,96.55,False,1,0,0,1,0,1,0,0,0,0,1,0
9178-JHUVJ,0,1,1,24,1,1,0,0,0,0,0,0,1,24.1,False,0,1,0,0,1,0,0,1,1,0,0,0
6168-YBYNP,0,0,0,59,1,1,0,1,1,1,1,1,1,111.35,False,0,1,0,1,0,1,0,0,0,0,1,0
7255-SSFBC,0,1,1,72,1,1,0,1,1,1,1,1,1,112.25,False,0,1,0,1,0,0,0,1,1,0,0,0
3645-DEYGF,0,0,1,1,1,0,0,0,0,0,0,0,0,20.75,False,0,1,0,0,1,1,0,0,0,0,0,1
9323-HGFWY,0,1,0,27,1,0,1,0,0,1,1,1,1,101.9,False,1,0,0,1,0,0,1,0,0,1,0,0
8544-GOQSH,0,0,0,14,1,0,0,1,0,1,0,0,1,80.05,False,1,0,0,1,0,1,0,0,0,1,0,0
3363-DTIVD,0,1,1,71,1,1,1,0,1,0,1,1,0,105.55,False,0,1,0,1,0,0,0,1,0,0,1,0
7018-WBJNK,0,0,1,13,1,0,0,0,0,0,1,0,1,78.3,False,0,1,0,1,0,1,0,0,0,1,0,0
9142-KZXOP,0,0,0,44,1,0,0,0,0,0,0,0,0,68.85,False,0,1,0,1,0,1,0,0,0,1,0,0
7674-YTAFD,0,0,0,33,1,0,0,1,0,1,0,0,1,79.95,False,1,0,0,1,0,0,1,0,1,0,0,0
6348-SNFUS,0,1,1,72,0,0,1,1,1,1,0,1,1,55.45,False,0,1,1,0,0,0,0,1,0,1,0,0
